Straight Party Ticket (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Party,,,Republican Party,,,Libertarian Party,,,U.S. Taxpayers Party,,,Working Class Party,,,Green Party,,,Natural Law Party,,,
Precinct,Registered Voters,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Absentee,Election,Total Votes,Total
"Orion Township, Precinct 13",2128,251,74,325,247,266,513,1,4,5,1,1,2,1,1,2,3,0,3,0,0,0,850
"Orion Township, Precinct 14",1381,137,50,187,138,182,320,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,512
"Orion Township, Precinct 15",2189,308,79,387,228,219,447,2,4,6,0,1,1,1,3,4,3,0,3,1,0,1,849
"Oxford Township, Precinct 1",2775,327,113,440,386,326,712,3,5,8,0,0,0,0,1,1,1,0,1,0,0,0,1162
"Oxford Township, Precinct 2",2468,213,74,287,299,296,595,4,7,11,1,0,1,3,0,3,3,0,3,0,3,3,903
"Oxford Township, Precinct 3",2804,281,74,355,425,365,790,4,1,5,2,1,3,0,2,2,2,0,2,0,0,0,1157
"Oxford Township, Precinct 4",2599,231,64,295,414,351,765,2,4,6,0,0,0,0,5,5,1,1,2,0,0,0,1073
"Oxford Township, Precinct 5",1985,219,65,284,244,269,513,1,2,3,0,3,3,1,2,3,0,1,1,0,1,1,808
"Oxford Township, Precinct 6",2371,205,41,246,398,369,767,4,2,6,0,0,0,1,0,1,2,0,2,0,0,0,1022
"Oxford Township, Precinct 7",2786,338,55,393,442,383,825,4,3,7,0,0,0,0,2,2,1,0,1,1,0,1,1229
"Rose Township, Precinct 1",1432,139,42,181,168,230,398,0,2,2,0,1,1,0,4,4,0,0,0,1,1,2,588
"Rose Township, Precinct 2",1904,174,37,211,257,310,567,2,3,5,0,0,0,0,3,3,0,1,1,0,1,1,788
"Rose Township, Precinct 3",2014,161,55,216,291,332,623,2,2,4,0,0,0,0,3,3,1,1,2,0,0,0,848
"Royal Oak Township, Precinct 1",1505,321,225,546,3,13,16,0,2,2,0,1,1,2,1,3,1,1,2,0,1,1,571
"Royal Oak Township, Precinct 2",1143,284,209,493,3,8,11,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,506
"Southfield Township, Precinct 1",961,175,69,244,61,87,148,1,1,2,0,0,0,1,0,1,0,2,2,0,0,0,397
"Southfield Township, Precinct 2",1130,209,64,273,85,97,182,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0,459
"Southfield Township, Precinct 3",901,162,48,210,67,84,151,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,364
"Southfield Township, Precinct 4",1357,207,60,267,137,134,271,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,541
"Southfield Township, Precinct 5",1450,333,106,439,134,78,212,0,2,2,0,0,0,0,2,2,1,0,1,0,1,1,657
"Southfield Township, Precinct 6",2151,389,98,487,229,198,427,2,2,4,0,0,0,0,0,0,1,0,1,0,0,0,919
"Southfield Township, Precinct 7",1173,158,38,196,142,113,255,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,452
"Southfield Township, Precinct 8",1529,315,81,396,142,109,251,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648
"Southfield Township, Precinct 9",1337,297,67,364,117,105,222,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,587
"Southfield Township, Precinct 10",1041,200,41,241,156,103,259,0,2,2,0,0,0,0,0,0,1,1,2,0,0,0,504
"Springfield Township, Precinct 1",1694,150,50,200,224,324,548,1,1,2,0,0,0,2,2,4,0,0,0,0,1,1,755
"Springfield Township, Precinct 2",2001,193,83,276,205,337,542,4,4,8,0,0,0,0,3,3,0,0,0,0,0,0,829
"Springfield Township, Precinct 3",2260,200,58,258,319,371,690,3,5,8,0,1,1,0,1,1,0,2,2,0,0,0,960
"Springfield Township, Precinct 4",1581,176,55,231,191,227,418,1,4,5,2,0,2,0,0,0,0,2,2,0,1,1,659
"Springfield Township, Precinct 5",1928,210,48,258,311,278,589,0,2,2,0,0,0,0,3,3,0,2,2,1,1,2,856
"Springfield Township, Precinct 6",1773,201,42,243,244,242,486,0,1,1,1,0,1,2,0,2,0,1,1,0,0,0,734
"Springfield Township, Precinct 7",984,90,21,111,108,173,281,0,3,3,0,0,0,0,0,0,1,0,1,0,0,0,396
"Waterford Township, Precinct 1",984,117,20,137,150,109,259,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,400
"Waterford Township, Precinct 2",3117,375,87,462,387,329,716,2,1,3,0,1,1,1,4,5,2,1,3,0,0,0,1190
"Waterford Township, Precinct 3",2991,369,97,466,291,367,658,1,4,5,0,0,0,1,2,3,0,1,1,0,0,0,1133
"Waterford Township, Precinct 4",2856,297,89,386,403,380,783,2,2,4,0,3,3,1,3,4,0,0,0,0,0,0,1180
"Waterford Township, Precinct 5",3213,379,95,474,399,415,814,4,5,9,3,2,5,2,1,3,0,3,3,0,2,2,1310
"Waterford Township, Precinct 6",2955,355,88,443,284,383,667,2,6,8,1,1,2,3,1,4,0,2,2,0,1,1,1127
"Waterford Township, Precinct 7",3076,351,116,467,305,350,655,3,3,6,0,0,0,1,1,2,0,0,0,0,0,0,1130
"Waterford Township, Precinct 8",2852,366,97,463,360,296,656,4,5,9,2,0,2,1,1,2,2,0,2,0,0,0,1134
"Waterford Township, Precinct 9",2913,369,104,473,385,279,664,4,2,6,0,2,2,1,2,3,2,3,5,0,0,0,1153
"Waterford Township, Precinct 10",1674,232,53,285,262,176,438,2,1,3,0,0,0,1,1,2,0,1,1,0,0,0,729
